CEP Proposto,Tipo,Novo Endereço,Endereço Antigo,Informação Adicional,Bairro
43700-050,Rua,Santa  CatarIna,,,Centro
43700-052,Avenida,Engenheiro  Walter Aragão de Souza,,,Centro
43700-054,Rua,Manoel Bento de Souza,,,Centro
43700-056,Avenida,Luís Eduardo Magalhães,,,Centro
43700-058,Rua,L,,(Lot Sol Nascente),Centro
43700-060,Rua,O,,(Lot Sol Nascente),Centro
43700-062,Rua,N,,(Lot Sol Nascente),Centro
43700-064,Rua,M,,(Lot Sol Nascente),Centro
43700-066,Rua,A,,(Lot Sol Nascente),Centro
43700-068,Rua,K,,(Lot Sol Nascente),Centro
43700-070,Rua,J,,(Lot Sol Nascente),Centro
43700-072,Travessa,I,,(Lot Sol Nascente),Centro
43700-074,Rua,G,,(Lot Sol Nascente),Centro
43700-076,Rua,H,,(Lot Sol Nascente),Centro
43700-078,Rua,F,,(Lot Sol Nascente),Centro
43700-080,Rua,E,,(Lot Sol Nascente),Centro
43700-082,Rua,D,,(Lot Sol Nascente),Centro
43700-084,Rua,C,,(Lot Sol Nascente),Centro
43700-086,Rua,B,,(Lot Sol Nascente),Centro
43700-088,Via,Férrea,,,Centro
43700-090,Avenida,Washington Luís,,,Centro
43700-092,Avenida,Orlando Moscoso,,,Centro
43700-094,Rua,E,,(Lot Encanto das Árvores),Centro
43700-096,Rua,B,,(Lot Encanto das Árvores),Centro
43700-098,Rua,C,,(Lot Encanto das Árvores),Centro
43700-100,Rua,D,,(Lot Encanto das Árvores),Centro
43700-102,Avenida,Rui Barbosa,,,Centro
43700-104,Rua,Walter José TolentIno Alves,,,Centro
43700-106,Praça,Sete de Novembro,,,Centro
43700-108,Rua,Hermínio Manoel Bonifácio,,,Centro
43700-110,Rua,do Colégio Padre Luiz PalmeIra,,,Centro
43700-112,Avenida,Engenheiro  Elmo Serejo de Farias,,,Centro
43700-114,Rua,Marechal  Hermes da Fonseca,,,Centro
43700-116,Rua,Engenheiro  Paulo Moreira,,,Centro
43700-118,Rua,Manso Cabral,,,Centro
43700-120,Avenida,Altamirando de Araújo Ramos,,,Centro
