"RUA;BAIRRO"
"RUA OTAVIO MANGABEIRA;PITANGUINHA"
"RUA ALMIRANTE BARROSO;CRISTO REI"
"RUA NOSSA ESPERANCA;PINTANGA DE PALMARES"
"BA 093;SANTA ROSA"
"AVENIDA RUI BARBOSA;CENTRO"
"AV WALTER ARAGAO DE SOUZA;CENTRO"
"AV RUI BARBOSA;CENTRO"
"GENERAL LABATUT;PARADA"
"AVENIDA RIVALDO GUIMARAES;CIA I"
"RUA VISCONDE DE MAUA;GOES CALMON"
"RUA TUCANO;KM 30"
"RUA CEZAR AUGUSTO;PALMARES"
"RUA ESTACIO DE SA;ENGENHO NOVO"
"RUA Q;SIMOES FILHO I"
"RUA MACEIO;KM 25"
"RUA PRINCESA ISABEL;CIA II"
"RUA 22 DE ABRIL;CRISTO REI"
"RUA DIRETA DE MAPELE;MAPELE"
"RUA VITAL BRASIL;PITANGA VELHA"
"RUA COLORADO;COVA DA GIA"
"AVENIDA ELMO CEREJO DE FARIAS;CIA I"
"AVENIDA ELMO SEREJO FARIAS KM 2;CIA II"
"RUA RUY BARBOSA;CENTRO"
"VIA PERIFERICA I;ARATU"
"RUA DA LINHA;ARATU"
"RUA ALTO DA TORRE;MAPELE"
"AV ROCHA;PITANGA DE PALMARES"
"AVENIDA RUY BARBOSA;CENTRO"
"RUA ITAPARICA;NUCLEO COLONIAL DE SIMOES FILHO"
"RODOVIA BA 093 KM3;ESTRADA DE ALAGOINHAS"
"RUA DIRETA DA ESCOLA;SANTA LUZIA"
"AVENIDA LOMANTO JUNIOR;PONTO DE PARADA"
"RUA VISCONDE DE MARICA;GOES CALMON"
"CONJ HSB ILHA DE SAO JOAO;ILHA DE SAO JOAO"
"AVENIDA ELMO CEREJO DE FARIAS;N GOV"
"PRACA 31 DE MARCO;1"
"RUA R;GOES CALMON"
"BR 324 KM 185;CIA I"
"RUA A;GOES CALMON"
"RUA SAO PAULO;KM 25"
"CHACARA PALMARES;PINTANGA DE PALMARES"
"RUA MACHADO DE ASSIS;NUCLEO COLONIAL DE SIMOES FILHO"
"RUA ALMIRANTE BARROSO;CRISTO REY"
"LADEIRA DA ILHA DE SAO JOAO;ILHA DE SAO JOAO"
"AVENIDA CAMACARI;TIRO SEGURO"
"RUA SABIA;LOTEAMENTO SANTO ANTONIO DE JESUS"
"PRACA 07 DE NOVEMBRO;CENTRO"
"RUA GRANDE G;PARQUE CONTINENTAL"
"AVENIDA JOAO XXIII;PONTO PARADA"
"RUA EDMUNDO COSTA;PITANGUINHA"
"RUA DIRETA DO SANTO ANTONIO DO RIO DAS PEDRAS;SANTO ANTONIO DO RIO DAS PEDRAS"
"RUA WASHINGTON LUIS;CIA II"
"AVENIDA MAPELE;MAPELE"
"AV RIVALDO GOMES GUIMARAES;CIA I"
"FAZENDA DANDA KM 09 BA093;PITANGA DE PALMARES"
"CIA I;Simões Filho - BA"
"CONJUNTO HABITACIONAL VIDA NOVA;VIDA NOVA"
"AV ELMO CEREJO DE FARIAS;N ESCOLA"
"RUA BERLAMINO RIBEIRO;PITANGUINHA"
"RUA DO CAMPO;NAO INFORMADO"
"AVENIDA GETULIO VARGAS;NAO INFORMADO"
"RUA ENGENHEIRO PAULO MOREIRA;CENTRO"
"TRAVESSA CELSO ANGELO;CIA I"
"RUA OCEANIA;PITANGUINHA"
"RUA NOSSA SENHORA DA LUZ;KM 30"
"RUA DA AROEIRA;CENTRO"
"PARQUE DA CHESF;COTEGIPE"
"AVENIDA ELMO SEREJO FARIAS;N NAO INFORMADO"
"AVENIDA WALTER ARAGAO DE SOUZA;KM 25"
"PRACA DA BANDEIRA;CENTRO"
"AVENIDA RIVALDO GOMES GUIMARAES;CIA I"
"RUA IPITANGA II;TIRO SEGURO"
"RUA JANUARIO DE SANTANA;N CJ"
"TRAVESSA MAPELE;MAPELE"
"RUA JANUARIO SANTANA;CJ"
"RUA TURQUIA;LUIZ EDUARDO MAGALHAES"
"RUA ANTONIO APOLINARIO DA HORA;CENTRO"
"RUA ITACARE;GOV"
"RUA MENDES SA;JARDIM RENATAO"
"AVENIDA GOVERNADOR PAULO SOUTO;PAULO SOUTO"
"RUA JOAO XXIII;PONTO PARADA"
"RUA FEIRA DE SANTANA;CRISTO REY"
"AV CAMACARI;TIRO SEGURO"
"RUA NOSSA ESPERANCA;P DE PALMARES"
"RUA ALTO DO BOM VIVER;SANTO ANTONIO DO RIO DAS PEDRAS"
"RUA PEDRO CERQUEIRA;SIMOES FILHO I"
"RUA MARIA HELENA;RECANTO DOS EUCALIPTOS"
"RUA VIVENDA DOS PASSAROS;CIA II"
"RUA PARAGUASU;PARQUE CONTINENTAL"
"RUA DA CAIXA D AGUA SN;PINTANGA DE PALMARES"
"RUA ALLAN KARDEC;RECANTO DOS EUCALIPTOS"
"RUA L;PITANGUINHA"
"RUA COLORADO;COVA DA GIA"
"VIA UNIVERSITARIA;PITANGUINHA"
"RUA DA QUADRA CONJUNTO ILHA DE SAO JOAO;ILHA DE SAO JOAO"
